Date,Open,High,Low,Close
17-May-2023,49841.38,49968.68,49313.30,49588.43,
18-May-2023,50054.92,50054.92,49556.56,49642.55,
19-May-2023,49813.41,49974.72,49428.78,49922.25,
22-May-2023,49799.45,49955.67,49577.13,49797.66,
23-May-2023,49900.76,50003.58,49737.25,49821.34,
24-May-2023,49668.78,49945.12,49517.87,49565.64,
25-May-2023,49481.18,49638.87,49273.11,49595.54,
26-May-2023,49634.91,50023.28,49466.32,49960.50,
29-May-2023,50118.95,50471.88,50118.95,50262.74,
30-May-2023,50269.71,50503.38,50193.07,50442.00,
31-May-2023,50317.98,50343.07,49715.83,50017.52,
1-June-2023,50062.91,50069.56,49521.46,49605.22,
2-June-2023,49800.41,49961.53,49646.35,49789.92,
5-June-2023,49913.59,50226.16,49913.59,50027.58,
6-June-2023,50010.84,50290.96,50003.65,50230.52,
7-June-2023,50346.88,50401.19,50179.40,50296.35,
8-June-2023,50264.10,50418.91,49807.22,49894.08,
9-June-2023,49889.24,50129.84,49808.03,49874.11,
12-June-2023,49902.73,49971.43,49769.49,49827.87,
13-June-2023,49742.03,50015.58,49741.20,49951.06,
14-June-2023,49984.97,50049.97,49761.45,49814.18,
15-June-2023,49777.21,49909.49,49140.66,49174.88,
16-June-2023,49242.10,49840.44,49242.10,49682.85,
19-June-2023,49759.91,49805.99,49126.88,49266.14,
20-June-2023,49272.50,49527.52,48960.45,49458.23,
21-June-2023,49554.75,49628.15,49369.43,49545.74,
22-June-2023,49582.50,49794.44,49397.81,49453.47,
23-June-2023,49365.20,49516.44,49236.91,49292.31,
26-June-2023,49333.03,49467.20,49205.96,49296.96,
27-June-2023,49495.02,49956.23,49355.71,49886.99,
28-June-2023,50149.39,50296.00,49908.81,50107.10,
30-June-2023,50244.47,50533.05,50176.38,50500.57,
3-July-2023,50668.65,51092.89,50549.24,50894.92,
4-July-2023,51053.11,51444.86,50752.51,51050.20,
5-July-2023,51002.31,51193.60,50824.15,50912.67,
6-July-2023,50860.07,51235.99,50693.94,51153.54,
7-July-2023,50971.48,51060.71,50605.66,50739.46,
10-July-2023,50768.60,50999.38,50477.09,50630.78,
11-July-2023,50756.34,50901.54,50352.77,50450.11,
12-July-2023,50560.00,50647.42,50262.72,50337.32,
13-July-2023,50686.89,50873.00,50375.30,50440.58,
14-July-2023,50600.49,50727.79,50234.62,50559.62,
17-July-2023,50644.49,51401.47,50410.33,51291.95,
18-July-2023,51512.58,51756.88,51071.96,51207.91,
19-July-2023,51379.66,51539.20,51269.46,51492.87,
20-July-2023,51478.12,52286.00,51453.52,52212.53,
21-July-2023,52078.54,52499.23,51952.86,52122.78,
24-July-2023,52206.07,52206.07,51757.34,51836.97,
25-July-2023,52125.86,52140.81,51365.94,51646.91,
26-July-2023,51686.42,51989.24,51642.02,51950.60,
27-July-2023,52086.42,52224.94,51415.54,51550.00,
28-July-2023,51471.37,51579.14,51060.37,51319.66,
31-July-2023,51291.43,51479.51,51179.11,51432.39,
1-August-2023,51409.73,51560.09,51194.19,51331.27,
2-August-2023,50871.19,51137.18,50339.12,50635.91,
3-August-2023,50459.93,50662.93,49820.10,50098.46,
4-August-2023,50322.95,50758.26,50082.72,50428.55,
7-August-2023,50322.95,50758.26,50082.72,50428.55,
8-August-2023,50368.45,50639.30,50319.07,50491.32,
9-August-2023,50441.56,50450.25,50030.99,50380.42,
10-August-2023,50340.50,50481.23,49867.99,49973.30,
11-August-2023,49988.31,49988.31,49537.07,49608.24,
14-August-2023,49473.73,49622.74,49174.87,49462.31,
16-August-2023,49200.48,49388.75,48957.08,49329.85,
17-August-2023,49249.94,49456.94,49101.34,49243.80,
18-August-2023,49182.80,49342.25,48985.28,49214.03,
21-August-2023,49225.62,49532.41,49210.21,49390.65,
22-August-2023,49509.27,49535.67,49312.20,49366.53,
23-August-2023,49456.32,50010.55,49322.02,49957.60,
24-August-2023,50142.20,50512.37,49944.10,50008.14,
25-August-2023,49851.50,49910.92,49460.05,49774.49,
28-August-2023,49760.23,50170.31,49253.33,50049.78,
29-August-2023,50171.96,50200.38,49941.00,49999.79,
30-August-2023,50126.79,50320.24,49613.95,49696.41,
31-August-2023,49740.61,49940.67,49321.42,49371.95,
1-September-2023,49408.91,50047.81,49233.89,49912.19,
4-September-2023,49994.13,50094.13,49682.38,49937.60,
5-September-2023,49959.49,50064.49,49801.79,49912.85,
6-September-2023,49836.70,49936.45,49506.14,49732.59,
